,"Järvien lukumäärä","Pinta-ala yhteensä"
Pikku-Kero,1,128 ha
Sääskenlampi,1,6 ha
Häivä,1,2 ha
Uskilampi,1,3 ha
Köyry,1,757 ha
"Ahvenjoen Latvajärvi",1,16 ha
Pohjusjärvi,1,3 ha
"Iso Iilijärvi",1,20 ha
Salilampi,4,12 ha
"Pieni Haukilampi",17,61 ha
Luodeslammi,1,1 ha
Yölammi,2,5 ha
Keidaslammi,2,7 ha
Kapeajärvi,2,8 ha
Ihananlampi,1,9 ha
"Hoikan Kylkeinen",1,47 ha
Pieni-Raatikko,1,4 ha
Kattilalampi,12,70 ha
Petaajärvi,1,1 ha
Viitastenjärvi,1,116 ha
Peurolampi,2,5 ha
"Iso Kuusijärvi",1,32 ha
Iso-Muikku,1,43 ha
Mustanjärvi,1,15 ha
Miihkalinlampi,1,2 ha
Ameenjärvi,1,159 ha
Vennamonlampi,1,3 ha
Ala-Sallaajärvi,1,36 ha
Silvikkojärvi,1,46 ha
Särkkälammit,1,5 ha
Korolinlampi,1,2 ha
Ihanainen,1,45 ha
Kuivaslammi,1,1 ha
Hurttajärvi,1,6 ha
Pieni-Vauhkonen,1,3 ha
"Nojärv träsket",1,49 ha
Sydänmaanjärvi,2,7 ha
Värkkilampi,1,2 ha
Österviken,1,11 ha
Liikajärvi,1,48 ha
"Pikku Siskelijärvi",1,11 ha
"Iso Petäjälampi",4,17 ha
Sakarinlampi,1,2 ha
Vanajajärvi,1,574 ha
Kokkoriipi,1,13 ha
Sävträsket,1,54 ha
Saareisenlampi,1,11 ha
Mellinselkä,1,200 ha
Paska-Rävä,1,35 ha
Ellampi,1,14 ha
Huuhtilampi,4,29 ha
Pitkä-Kaakko,1,4 ha
"Ylimmäinen Soidinlampi",1,4 ha
Seukoträsket,1,8 ha
Ala-Salmikko,1,3 ha
Ehävänlampi,1,5 ha
Karhisenlampi,1,7 ha
Munkinlampi,1,14 ha
Otuslampi,3,11 ha
"Pieni Tuomaanjärvi",1,58 ha
Poitlammi,2,12 ha
Takajärvi,11,1 131 ha
Pikku-Kulus,1,93 ha
Sauna-Kinnunen,1,20 ha
Nikaranlampi,1,3 ha
"Suuri Vaaralampi",2,29 ha
Anianlampi,1,20 ha
Levaksenjärvi,1,12 ha
Kertosjärvi,1,13 ha
Storträsket,28,457 ha
Kärkölänjärvi,1,2 ha
Tammijärvi,3,1 750 ha
Lemunlampi,2,4 ha
Synsiä,1,1 927 ha
"Iso Kaihijärvi",1,6 ha
Voitilanjärvi,1,16 ha
Uusijärvi,9,64 ha
Pietilänlahti,1,8 ha
Kaaklampi,1,3 ha
Sonkalampi,1,13 ha
Tunnträsket,1,23 ha
Kangaslammi,7,15 ha
Santara,1,128 ha
Vipulammit,1,8 ha
Kattilalammi,1,3 ha
"Keskinen Vehkajärvi",1,4 ha
Rapa-Jousinginlampi,1,7 ha
Parikainen,1,3 ha
Punnonen,1,28 ha
Kaakanlampi,1,2 ha
Yläinen-Tuhkio,1,18 ha
Söudon,1,9 ha
Iso-Jalainen,1,20 ha
Ravdoroggejavri,2,8 ha
Kajajärvi,1,23 ha
Merrasjärvi,2,32 ha
Juvali,1,5 ha
Vaggovaljavri,1,185 ha
Rehtijärvi,1,39 ha
Makiankalanlampi,1,10 ha
Kopralampi,1,5 ha
Aaslakkirdemjävri,1,107 ha
"Iso Vatilampi",1,1 ha
"Iso Navettalampi",1,26 ha
Säynäänjärvi,1,3 ha
Löytänä,5,938 ha
Joutsen,1,19 ha
Lehriönjärvi,1,57 ha
Äijäjärvi,3,93 ha
Sarantajärvi,1,29 ha
Suuri-Urkka,1,4 ha
Hyvätlampi,2,4 ha
Lammunjärvi,1,240 ha
Iso-Levä,2,17 ha
Lauttalammi,1,3 ha
Siivikko,1,3 ha
Putolampi,1,6 ha
Kurkasjärvi,1,13 ha
Summanlampi,1,3 ha
Kiekkijärvi,1,170 ha
Tiirakkajärvi,1,169 ha
Furulotten,1,6 ha
Ylä-Keitele,1,49 841 ha
Kasurijärvi,1,46 ha
Sumppilampi,1,3 ha
Itä-Kaija,1,2 ha
Lehmolampi,4,13 ha
"Ylinen Hietajärvi",1,44 ha
Holmanlampi,1,1 ha
Järvitalonjärvi,1,135 ha
Lehmijärvi,11,405 ha
Janasjärvi,1,15 ha
Iso-Sämpiä,1,156 ha
Junginlampi,1,11 ha
Kurttjäuˊrr,1,62 ha
Kapeavesi,2,61 ha
"Isompi Ahvenjärvi",1,8 ha
Neitojärvi,1,38 ha
Lonnikkolampi,1,2 ha
Sorvalampi,29,128 ha
Kekkonen,1,19 ha
Tontonlampi,1,1 ha
Auttijärvi,1,203 ha
Alainenlammi,2,8 ha
Kiiskinlampi,2,9 ha
"Haapakosken vl:n yläallas",1,120 ha
Juonikka,1,17 ha
Niprajärvi,1,49 ha
Meliininlampi,1,8 ha
Ilmurinlampi,1,1 ha
Peukalolammi,1,4 ha
Mäntyriipi,2,24 ha
Pieni-Perimmäinen,1,2 ha
Änikkä,1,79 ha
Korrijärvi,1,8 ha
Karvaslampi,4,29 ha
Musta-Soljanen,1,8 ha
Värtönlampi,1,4 ha
Neälgejavri,1,5 ha
Konttilampi,26,97 ha
Hiisjärvi,2,372 ha
Kokojärvi,1,2 ha
Sotinlampi,1,9 ha
Kråkfjärden,1,7 ha
"Pikku Hietajärvi",1,4 ha
"Keskimmäinen Kivijärvi",1,58 ha
"Pohjan Korpilammi",1,7 ha
Nookalampi,1,13 ha
Kardragträsket,1,9 ha
Pajajärvi,2,92 ha
Bolstaholmsträsket,1,30 ha
Suuri-Pihlajalampi,1,6 ha
Kohmujärvi,1,136 ha
Höyhenlampi,2,5 ha
Rauanlampi,1,5 ha
Kuopunki,1,21 ha
Pieni-Joutsen,1,1 ha
Uva,1,420 ha
"Suuri Havujärvi",1,33 ha
Vähä-Hunnakkojärvi,1,10 ha
"Iso Mäkijärvi",1,5 ha
Evattu,1,23 ha
Mustansuonlampi,1,4 ha
Suuri-Pölläkkä,1,119 ha
Räätäjärvi,1,170 ha
Jyhnälampi,1,1 ha
Koikerojärvi,1,73 ha
Vaskilammi,1,1 ha
Ahvenistenlammi,1,4 ha
Tetrijärvi,7,193 ha
"Ylimmäinen Suvantolampi",1,2 ha
Harjuntausjärvi,1,13 ha
Kyläjärvi,9,280 ha
Vähä-Saksijärvi,1,5 ha
Haisulantto,1,2 ha
Tenämä,1,226 ha
Raja-Teyrilampi,1,2 ha
"Pikku Vehkoslammi",1,2 ha
Ensimmäinen-Saava,1,19 ha
Hongikkolampi,2,4 ha
Kaukuanjärvi,1,1 302 ha
Haara,1,1 ha
"Vähä Kylmäjärvi",1,3 ha
Hieringönseljänlammi,1,1 ha
Tohtaantauksenlampi,1,3 ha
Kelsonlampi,1,22 ha
Vasari,2,143 ha
Ylä-Lumpeinen,1,4 ha
Morokkajärvi,1,24 ha
"Pikku Kuomujärvi",1,16 ha
Lietjärvi,1,55 ha
Kertunjärvi,1,26 ha
Keskimmäisenpohja,1,6 ha
Koutavaaranjärvi,1,9 ha
"Övre viken",1,9 ha
"Vähä Katisjärvi",1,4 ha
Malosenjärvi,1,135 ha
Patelanselkä,1,74 ha
Jokilamminjärvi,1,4 ha
Lakanlampi,1,6 ha
Suurijärvi,33,4 175 ha
"Inre Verkviken",1,49 ha
Tapolompolo,1,10 ha
Hoikanjärvi,6,129 ha
Paihmaa,1,94 ha
Hangasperäjärvi,1,13 ha
Kupanjärvi,1,13 ha
"Iso Sivakkalampi",1,2 ha
"Pitkämön tekojärvi",1,100 ha
Harmaajärvi,1,18 ha
Taulajärvi,2,65 ha
Niemilammit,1,8 ha
Moskujavri,1,9 ha
Unari,1,2 881 ha
Kernaalanjärvi,1,445 ha
Soplisko,1,15 ha
Miklinlampi,2,55 ha
"Pieni Maijalampi",1,3 ha
Krukluuvi,1,5 ha
"Pieni Kangaslampi",7,38 ha
Ylä-Vuolujärvi,1,41 ha
Katkeimenlampi,1,4 ha
Kourinlampi,1,1 ha
Säynää,1,109 ha
Kärjenjärvi,1,90 ha
Vaarantakasenlampi,3,21 ha
Ruotojärvi,4,41 ha
Jaaskamonlampi,1,5 ha
Perälahti,1,2 ha
Vuorenalanen,3,11 ha
Ala-Purnulampi,1,3 ha
Vistjärnen,1,10 ha
"Pieni Kiiskilampi",1,2 ha
Pieni-Levänen,1,3 ha
Pinnarinlampi,1,3 ha
"Iso Lehmojärvi",1,9 ha
"Pikku Harjuntakanen",1,1 ha
"Iso Kirvesjärvi",1,11 ha
Siilaslompolo,1,30 ha
Kuljunlahti,1,116 ha
"Alimmainen Haisujärvi",1,2 ha
Kaukaloinen,3,8 ha
Loislampi,1,3 ha
Solmusluubbâl,1,54 ha
Pälkki,1,47 ha
"Vähä Pökkölöinen",1,4 ha
Onkerlammit,1,2 ha
Posteljärvi,1,2 ha
Keräsjärvi,1,154 ha
Piilukanlampi,1,3 ha
Tolpparinlampi,2,6 ha
Paha-Velu,1,4 ha
"Iso Halmeenlampi",1,3 ha
Ruddammen,1,3 ha
"Skogböle träsk",1,16 ha
Tapli,1,12 ha
Björnhällfladan,1,1 ha
Lamminsuonlampi,6,15 ha
Tarastenjärvi,1,2 ha
"Granö träsk",1,3 ha
"Pitkä Poskilampi",1,3 ha
Eittosenlampi,1,1 ha
"Iso Lapinjärvi",3,160 ha
Yräjärvi,1,15 ha
Lavalampi,6,82 ha
Piilojärvi,1,23 ha
Riikolanlampi,1,27 ha
Jurmua,1,94 ha
"Vähä Valkijärvi",1,8 ha
Keskinenlampi,2,8 ha
Kangas-Väärä,1,13 ha
Luhtalammi,1,3 ha
Soukanlammi,1,1 ha
Suklammi,1,1 ha
Kullasjön,1,240 ha
Löyttyjärvi,9,113 ha
Sannajärvi,1,9 ha
Kolmaslampi,1,2 ha
Arkusjärvi,1,110 ha
Rimminlammi,1,3 ha
Pieni-Kanniainen,1,2 ha
Kujankilampi,1,2 ha
"Pieni Haapalampi",2,4 ha
Viekaslampi,1,4 ha
Heinä-Loukeinen,1,3 ha
Auralampi,1,53 ha
Uimalampi,2,20 ha
Yli-Kortetjärvi,1,14 ha
Nuotiolampi,1,14 ha
Rudträsk,2,6 ha
Kolmpers,1,17 ha
Haatajanjärvi,1,73 ha
"Pieni Sorsalampi",1,10 ha
Haisuriipi,1,3 ha
Lapalammi,1,2 ha
Hämönlampi,2,10 ha
Palolampi,67,473 ha
Säyneisenlampi,1,8 ha
Kuolemanlampi,2,2 ha
Loklampi,1,2 ha
"Lemetin Musta",1,3 ha
Paskamajärvi,1,5 ha
Vinnurva,1,20 ha
Bysjön,1,3 ha
Ruokkaa,1,5 ha
Ala-Leppälampi,1,37 ha
Lennusjärvi,1,521 ha
Ylä-Poskinen,1,158 ha
Mutasenlampi,1,5 ha
"Iso Peuralampi",3,12 ha
Pohjainlampi,1,30 ha
Kalmonlampi,1,3 ha
Köngäslampi,1,26 ha
Riusalampi,1,2 ha
"Iso Antinlampi",1,1 ha
Hirvolanlampi,1,1 ha
Paljakkalampi,5,29 ha
Mokinlampi,1,5 ha
Savistenjärvi,1,29 ha
"Pieni Ahvenlampi",12,29 ha
Lahijärvi,1,14 ha
Rumppulampi,1,5 ha
Kivipää,1,8 ha
Linjalampi,4,8 ha
Allijärvi,7,79 ha
Pottijärvi,2,47 ha
Rannanjärvi,1,3 ha
Taipaleenlampi,6,52 ha
Meriläinen,1,4 ha
Leirinlampi,1,1 ha
Kilpislampi,1,10 ha
"Ylimmäinen Pulkanjärvi",1,11 ha
Pieni-Uurainen,1,83 ha
Pikku-Kaita,1,1 ha
Pihlajaniemenjärvi,1,8 ha
Västerträsket,3,24 ha
Kairajärvi,3,41 ha
Metterinjärvi,1,65 ha
Haringanlampi,1,9 ha
Rahalampi,3,17 ha
Kynnänjärvi,1,9 ha
Varpumaanlampi,1,3 ha
Pitsusjärvi,1,383 ha
Murelampi,1,3 ha
Koskelovesi,1,2 549 ha
Lonkari,1,1 819 ha
Salmi-Saahkari,1,5 ha
Kääkönlampi,1,137 ha
"Pieni Ruokesjärvi",1,4 ha
Kankaantakanen,1,13 ha
Lövblomsfladan,1,2 ha
Varpasenjärvi,1,48 ha
Linhamarinjärvi,1,34 ha
Musta-Olhavi,1,6 ha
Lattaslampi,1,4 ha
"Pieni Kivijärvi",15,115 ha
Lehmänämpäri,1,3 ha
Kiukkaanlampi,1,2 ha
Uudenniitynlampi,2,6 ha
Lätäkönlampi,1,1 ha
Saajanmitta,1,8 ha
"Iso Lontanlampi",1,29 ha
Viskaalinlampi,1,2 ha
Ankkoinjärvi,1,20 ha
"Iso Taimenjärvi",1,56 ha
Njaqajavri,1,21 ha
Lehdonlampi,2,4 ha
"Alimmainen Salmilampi",2,39 ha
"Alimmainen Turvakkojärvi",1,1 ha
Suojanperäilampi,1,26 ha
Laanlampi,1,7 ha
Joutee,2,107 ha
"Vähä Lepojärvi",1,3 ha
Sukevanjärvi,1,389 ha
"Pieni Ingijärvi",1,4 ha
Niitylampi,1,1 ha
"Iso Oudonlampi",1,16 ha
Talvijärvi,2,38 ha
Udvarrejavri,3,24 ha
Mieliönlammi,1,7 ha
Pirkittajärvi,1,1 ha
Djupvattenträsket,1,7 ha
Vaaranlampi,8,62 ha
Kuuksenlampi,1,11 ha
Suuri-Kuittua,1,47 ha
Tuohelanjärvi,1,3 ha
Pieni-Ruonanen,1,3 ha
Petääjärvi,4,91 ha
Norkko,1,28 ha
Ala-Paavalinen,1,14 ha
Hutunsilmä,1,2 ha
Puonilampi,1,6 ha
Niipajärvi,1,63 ha
Kernuujärvi,1,138 ha
Soikialampi,1,1 ha
"Pajib Puolddsakjavri",1,74 ha
Ohtajärvi,1,15 ha
Uddträsket,1,3 ha
Palsajavri,1,11 ha
Säkinlampi,1,8 ha
Maanselkäjärvi,1,4 ha
Pieni-Lyly,1,3 ha
Riihi-Kaleton,1,4 ha
Luikunlampi,1,10 ha
Soidinlampi,32,120 ha
Soilukka-Kumpunen,1,23 ha
Katajalammi,3,5 ha
Ulpas,3,10 ha
Soppislammi,1,9 ha
Rekolampi,1,2 ha
Paimenlampi,1,3 ha
Navanvaaranlampi,1,13 ha
Taarumjärvi,1,15 ha
Pienetlammit,1,0 ha
Hamnskärsflagan,1,2 ha
"Iso Nurmijärvi",1,19 ha
Moitajärvi,2,152 ha
"Pieni Siivenlampi",1,4 ha
Keski-Pahkalampi,1,1 ha
Sanginlampi,2,26 ha
Kuusaanlampi,1,168 ha
Mörkträsket,1,22 ha
Kelvänjärvi,1,242 ha
Pahkalammi,3,5 ha
"Keskimmäinen Syväjärvi",1,1 ha
"Iso Rovijärvi",1,330 ha
"Uhtsib Kolmmesjavri",1,57 ha
Aiteenlompolo,1,4 ha
"Syvä Tervajärvi",1,40 ha
"Keskimmäinen Loukkulampi",1,5 ha
Syvä-Ruokonen,1,1 ha
Kautiolammi,1,2 ha
Varddoaijavri,1,26 ha
Merjeslampi,1,14 ha
Vammaanlampi,1,12 ha
Pieni-Kovalainen,1,2 ha
"Strömma träsk",1,13 ha
Kelajärvi,1,41 ha
Pikku-Kantolampi,1,1 ha
Syvälompolo,1,23 ha
Patolampi,9,66 ha
Poikapää,1,45 ha
Saari-Hoilua,1,27 ha
Leämmegasj,1,29 ha
Tarsanlampi,1,12 ha
Keinovuopio,1,3 ha
Ala-Mulkujärvi,1,22 ha
Naavanen,1,72 ha
Pieni-Varpanen,8,390 ha
Savulampi,1,6 ha
Muulinjärvi,1,6 ha
Ylä-Purjejärvi,1,7 ha
"Stora Kutusträsket",1,60 ha
Hannaladdok,1,2 ha
"Iso Riijärvi",1,14 ha
Kuorijärvi,1,22 ha
Nuottamojärvi,1,25 ha
Pellisenjärvi,1,51 ha
Värrönlampi,1,2 ha
Pieni-Salmikko,2,22 ha
Pimeälampi,1,2 ha
Syvärijärvi,1,2 ha
Jämijärvi,1,879 ha
"Iso Rautavesi",1,843 ha
Juurakkovuopaja,1,6 ha
Lemi-Valkea,1,1 ha
"Stuorra Pogejavri",1,28 ha
"Pieni Nousjärvi",1,21 ha
Kalaffanjärvi,1,10 ha
Koukkulammi,4,21 ha
Iso-Pakonen,1,8 ha
"Syvä Koivajärvi",1,9 ha
Suuri-Lemmikki,1,5 ha
Pöllönlampi,1,2 ha
Pikku-Hyypiö,1,21 ha
"Kalaton Kampajärvi",1,12 ha
Kuirinlampi,1,2 ha
Äystöjärvi,1,44 ha
Pieni-Muikku,1,43 ha
"Ylempi Akujärvi",1,65 ha
Iso-Moukkori,1,9 ha
Yli-Kuoliojärvi,1,153 ha
Kovesjärvi,1,225 ha
Virtalampi,2,4 ha
"Alimmainen Palolampi",2,9 ha
Lattulampi,1,21 ha
Ilvankajärvi,1,14 ha
Kaatro,2,8 ha
"Iso Koidanlampi",1,8 ha
Pikku-Simi,1,6 ha
Illeppijärvi,1,12 ha
Pieni-Ohmo,1,1 ha
"Kabmasmohke Ravdojavri",1,37 ha
Kaitue,1,11 ha
"Suuri Kurkonlampi",1,26 ha
"Kolmas Katajalampi",1,2 ha
Tupajärvi,6,50 ha
Iso-Heinänen,2,5 ha
Pitkäraate,1,5 ha
Kätteejärvi,1,79 ha
"Kuhkes Havgajavri",1,9 ha
"Pieni Poikkijärvi",1,11 ha
Alainen,4,86 ha
Hattulampi,5,15 ha
Mustinoinen,1,5 ha
Lyhelampi,1,16 ha
Pitkä-Kumpunen,1,5 ha
Vaaranpäänlampi,3,5 ha
Ekslampi,1,4 ha
Hylkilampi,1,4 ha
Kuurna,1,144 ha
Ala-Kataja,1,12 ha
"Alinen Kiuasjärvi",1,1 ha
Kyrksjön,1,112 ha
Paalampi,1,11 ha
Njamahjavri,2,89 ha
Maikonlahti,1,6 ha
Rautiojärvi,1,22 ha
"Pieni Akanjärvi",1,26 ha
Murhianjärvi,1,14 ha
Siitinlampi,1,19 ha
Kohkosenlampi,1,3 ha
"Iso Haukilampi",17,149 ha
Rahitunlammi,1,2 ha
Taatsijärvi,1,14 ha
Saukkoriipi,1,5 ha
Pasko-Petäinen,1,42 ha
Epistönjärvi,1,1 ha
"Pieni Kolmisoppinen",2,7 ha
Mikitänjärvi,1,915 ha
Pikku-Valaputtaja,1,2 ha
Friskan,1,12 ha
Piklampi,1,3 ha
"Suuri Vasarajärvi",1,106 ha
Luodejärvi,2,58 ha
"Odensö träsk",1,2 ha
Slagan,1,2 ha
Tihisenlampi,1,2 ha
"Lihava Kalajärvi",1,4 ha
Iso-Soukka,1,56 ha
"Iso Kurkilampi",3,11 ha
Ala-Karanka,1,22 ha
Luulajanjärvi,1,133 ha
Kuojärvi,1,34 ha
Iso-Leveä,1,33 ha
Koipijärvi,2,83 ha
Sopes,1,32 ha
Björkvikfladan,1,1 ha
Lehdontaus,1,6 ha
Kulilampi,1,6 ha
Kylmäjärvi,10,417 ha
Pahariipi,1,2 ha
Kainuanrimpi,1,5 ha
"Iso Hankajärvi",1,40 ha
Totjärvi,1,60 ha
Kaihlalampi,16,120 ha
Palpalampi,1,9 ha
Pieni-Pyöreinen,1,1 ha
Iso-Lankko,1,160 ha
"Ailin Iso Kalajärvi",1,17 ha
Karttusenlampi,1,1 ha
Öksjö,1,10 ha
Mäenpään-Valkeinen,1,3 ha
Molkanlampi,1,4 ha
Perälampi,25,151 ha
Lahnasenjärvi,1,9 ha
Ala-Päkkilampi,1,3 ha
Vihtari,1,24 ha
Ilmakkijärvi,1,67 ha
Pajunen,2,3 ha
Koltsoppinen,1,12 ha
Aikkipetsinlampi,2,4 ha
Aartojärvi,1,94 ha
"Iso Kylkislampi",1,13 ha
Arvunki,1,5 ha
Nahtiainen,1,2 ha
Soikeinen,2,12 ha
"Ylimmäinen Kotalampi",1,4 ha
"Pieni Tiaislampi",1,1 ha
Vähä-Kaita,1,1 ha
"Pieni Patajärvi",1,6 ha
Säytjärvi,1,107 ha
"Keskimmäinen Kuivajärvi",1,4 ha
"Alainen Ropanjärvi",1,9 ha
"Iso Lauttajärvi",1,52 ha
"Pieni Kannanlampi",1,1 ha
Kaivos-Valkeinen,1,5 ha
Rahijärvi,2,47 ha
Vähälampi,9,58 ha
Lampilanlammi,1,4 ha
Oksilammi,1,4 ha
Hannoskoahtejavri,1,62 ha
"Stora Bladträsk",1,2 ha
Pikku-Näkiäinen,1,4 ha
Pahalampi,77,232 ha
Ala-Liekkojärvi,1,43 ha
Lounalampi,1,16 ha
Heinävesi,2,41 ha
Uolevinlampi,1,3 ha
Tivreladdu,2,5 ha
"Pieni Varilampi",1,1 ha
Iso-Pessous,1,60 ha
Kaakkuri,4,22 ha
Kukkumalampi,1,2 ha
Pirneslampi,1,3 ha
"Suuri Haapajärvi",1,27 ha
Tukiainen,1,5 ha
Pieni-Silmunen,1,7 ha
Kielojärvi,1,18 ha
Löytänänjärvi,1,148 ha
Torokkolampi,1,1 ha
Kattila-Talviainen,1,3 ha
Säynävälampi,1,4 ha
Neva-Hoikka,1,1 ha
Väärinjärvi,1,180 ha
Aikinlampi,2,27 ha
Näätämäinen,1,19 ha
Iso-Kaihlajärvi,1,42 ha
Imppojärvi,1,29 ha
Pitkä-Saikko,1,2 ha
Köyliönjärvi,1,1 243 ha
Selkäydenjärvi,1,17 ha
Asumaisenlampi,1,12 ha
Parsitslampi,1,3 ha
"Iso Päiväjärvi",1,54 ha
Haukilammi,22,60 ha
Turkkilampi,4,13 ha
Rookkijärvi,1,37 ha
Pitkätyistenlampi,1,2 ha
Huovisenjärvi,1,68 ha
Pitkäriipi,1,5 ha
Koisjärvi,1,36 ha
Haiponjärvi,1,12 ha
Lankisenlampi,1,3 ha
Tenkimälampi,1,1 ha
Aapa-Suikelolampi,1,7 ha
Trehörningen,1,4 ha
Vierulampi,2,17 ha
Purstolampi,2,2 ha
Rauhajärvi,3,1 380 ha
"Höckböle träsk",1,6 ha
"Iso Jalmajärvi",1,129 ha
Kärängänlampi,1,6 ha
Tavinampumajärvi,1,9 ha
Kievgamladdu,1,5 ha
Leppäslampi,1,7 ha
"Vähä Haukijärvi",1,2 ha
Rapajärvi,3,58 ha
Laakerlampi,1,2 ha
Iso-Loppanen,1,9 ha
"Suuri Sorsalampi",1,28 ha
Iso-Karsikkolampi,1,16 ha
"Iso Jänisjärvi",1,13 ha
Maisenjärvi,1,3 ha
Kieronlampi,1,5 ha
Niislampi,1,2 ha
Kalmakaltio,1,2 ha
"Alinen Kivijärvi",2,8 ha
Lehmojärvi,1,3 ha
Munakkalampi,4,17 ha
Mustameri,4,18 ha
Lehtotunturinlampi,1,5 ha
Pyhäjärvenlompola,2,4 ha
Kuonanjärvi,2,1 050 ha
Ala-Raatinen,1,12 ha
Riivikkolampi,2,13 ha
Kallokasjärvi,1,12 ha
Rautionlampi,1,3 ha
Votvas,1,11 ha
Kave-Rytkö,1,7 ha
Hukanjärvi,1,8 ha
Ellerijärvi,1,3 ha
Pitkälahti,4,66 ha
Kaartojärvet,2,133 ha
Sarsanuoma,1,2 ha
Järvenmäenlampi,1,3 ha
"Pieni Piippulampi",1,3 ha
Matkajärvi,5,91 ha
Kobmirdamjoggjavri,1,5 ha
Olangonperänlampi,1,1 ha
Tarjjunjargajavri,1,17 ha
Joutsenenpesänlampi,1,2 ha
Mäkelänlampi,1,3 ha
Lappalaislampi,1,3 ha
Paavila,1,24 ha
Silkkilänjärvi,1,38 ha
Tjusträsk,1,114 ha
Karigaslampi,2,3 ha
Otsalampi,1,2 ha
Suodenjärvi,1,14 ha
Sulkajärvi,2,22 ha
Kyynäröinen,1,36 ha
"Pieni Riihijärvi",3,43 ha
Pääskilampi,1,12 ha
Lotonlampi,1,1 ha
Tuoresjärvi,1,18 ha
Kintaisenlampi,1,2 ha
Uimolampi,2,4 ha
Kontislampi,1,2 ha
Äijöölampi,1,1 ha
Hämeenharjunlampi,1,2 ha
Suuri-Ahmalampi,1,16 ha
Kivi-Karanka,1,3 ha
Luosalampi,1,1 ha
"Pikku Tuulijärvi",1,80 ha
Rauvanlampi,1,27 ha
Kolmi-Kalanen,1,1 ha
"Iso Kattilalampi",1,7 ha
"Suuri Hevonlampi",1,6 ha
Ristijärvet,1,6 ha
Iso-Joutsen,1,4 ha
Iso-Miekka,1,38 ha
Siltastenlammi,1,2 ha
Pieni-Mulkkunen,1,2 ha
Lieksanlampi,1,3 ha
Kelkkämä,1,2 ha
Sorva,1,65 ha
Matkijärvi,1,7 ha
Riikinlampi,1,8 ha
Luppojärvi,2,273 ha
Niskajärvi,10,1 772 ha
Väärä-Saahkari,1,6 ha
Törsynlampi,1,2 ha
Kirakkapääjärvi,1,13 ha
Pikku-Kolasin,1,4 ha
Marrasjärvi,1,651 ha
Matkuslampi,12,77 ha
Kavkostajärvi,1,18 ha
Kolmipohjanlampi,1,8 ha
Suvispäänlampi,1,3 ha
Hyyrylampi,1,2 ha
Lokittomalommol,1,5 ha
Tynnörlampi,2,5 ha
"Keskimmäinen Karklampi",1,1 ha
Sotku,1,3 ha
Koskelanlammanne,1,8 ha
Huosiaislampi,1,3 ha
Karjalaisenjärvi,1,3 ha
Puttolanlampi,1,22 ha
"Övre Småsjön",1,1 ha
"Kallio Hanskuusisto",1,3 ha
"Ylimmäinen Aittijärvi",1,3 ha
Sotilampi,3,7 ha
Kuvaksenlampi,1,26 ha
Vasikkakummunlampi,2,4 ha
Nivanlanpi,1,5 ha
Luppomaanjärvi,1,10 ha
Kirves-Kumpunen,1,4 ha
"Pieni Matalajärvi",1,6 ha
Märkäjärvi,3,144 ha
Kaihlajärvi,4,64 ha
Oulonjärvi,1,10 ha
Pusonjärvi,1,165 ha
Nutturalampi,1,2 ha
Sågträsk,1,2 ha
Luopsuttilampi,3,4 ha
Katiska,1,19 ha
Kimpanlampi,2,18 ha
Runninjärvi,1,9 ha
Särkilammit,1,42 ha
Nenosenlampi,1,10 ha
Markkisenlampi,1,2 ha
Kuluntajärvi,1,86 ha
Tolkanjärvi,1,56 ha
"Pieni Jyrkkälampi",1,5 ha
Nuortijärvi,1,102 ha
Vaatojärvi,1,70 ha
Tormulampi,1,2 ha
Puolbmakkeäsjavri,1,71 ha
"Suuri Majoinen",1,32 ha
Yli-Voho,1,31 ha
Yli-Salminen,1,5 ha
Siipiänlampi,1,3 ha
Vääränselkä,1,220 ha
Aalisjärvi,1,600 ha
Narvijärvi,1,411 ha
Halingonjärvi,1,17 ha
Permofladan,1,3 ha
"Alimmainen Mätäsjärvi",1,12 ha
Partasenlampi,3,36 ha
Kivilommol,1,12 ha
Mustalahti,1,7 ha
"Ylimmäinen Mustajärvi",1,54 ha
"Ylimmäinen Karklampi",1,1 ha
"Iso Kenkilampi",1,1 ha
Vaara-Uuttulampi,1,16 ha
Kuvainlampi,1,1 ha
"Pieni Saunajärvi",1,12 ha
"Vähä Kalajärvi",1,15 ha
Kaitavesi,1,23 ha
"Elli-Marian syntymälantto",1,15 ha
Majavijärvi,1,13 ha
Karijärvi,11,2 260 ha
Iso-Peiponen,1,1 ha
Pauninlampi,2,16 ha
"Ylinen Tervalammi",1,8 ha
Kankaan-Keskonen,1,4 ha
"Syvä Löytöjärvi",1,9 ha
Ahvenvaaranlampi,2,7 ha
Iso-Akko,1,33 ha
"Suuri Telynlampi",1,15 ha
Vaatimenseisomajärvi,1,11 ha
"Pieni Kärsälampi",1,1 ha
Aukkua,1,46 ha
Ruonanlampi,3,11 ha
Rumpulampi,2,4 ha
Lontonlampi,1,3 ha
"Pieni Muuraislampi",1,1 ha
Ylä-Honkalampi,1,15 ha
Viikslampi,1,5 ha
Kovelonjärvi,1,15 ha
Pieni-Hovatta,1,2 ha
Ala-Korppinen,1,53 ha
Pykälikönlampi,3,8 ha
Turvelampi,5,28 ha
Rissalanlampi,1,10 ha
Ahuli,1,46 ha
Maivajärvi,1,130 ha
Vähä-Leppijärvi,1,11 ha
